company,job,location,time_posted,job_type,salary,job_description,link
Smart Placement (Pvt) Ltd,Python/Django Developer,Smart Placement (Pvt) Ltd • Lahore,,Full-time,,"Job description
Position Overview: We are looking for a skilled Mid-Level Python Django Developer who is proficient in React, Bitbucket, and has a solid understanding of front-end development. The ideal candidate will be responsible for designing, implementing, and maintaining robust web applications using Django and integrating front-end components using React. This role offers an exciting opportunity to work on
...
 challenging projects, collaborate with cross-functional teams, and contribute to the growth and success of our company.
Key Responsibilities:
• Develop and maintain high-quality web applications using Python and Django framework.
• Integrate front-end components using React.js to create seamless user experiences.
• Collaborate with cross-functional teams including designers, product managers, and other developers to deliver project requirements.
• Write clean, efficient, and maintainable code following best practices and coding standards.
• Perform code reviews, identify areas for improvement, and implement solutions to optimize application performance.
• Work closely with the QA team to ensure the quality and reliability of the software through thorough testing.
• Participate in brainstorming sessions, contribute innovative ideas, and stay updated with the latest technologies and industry trends.
• Contribute to the documentation of technical specifications, system architecture, and development processes.
Requirements:
• Bachelor's degree in Computer Science, Engineering, or related field.
• 2+ years of experience in web development with Python and Django framework.
• Strong proficiency in React.js and front-end technologies including HTML5, CSS3, and JavaScript.
• Experience with version control systems such as Bitbucket.
• Solid understanding of software development lifecycle, agile methodologies, and continuous integration/continuous deployment (CI/CD) pipelines.
• Ability to work independently as well as collaboratively in a team environment.
• Excellent problem-solving skills and attention to detail.
• Strong communication skills with the ability to effectively convey technical concepts to both technical and non-technical stakeholders.
Nice to Have:
• Experience with other JavaScript frameworks/libraries such as Angular or Vue.js.
• Knowledge of back-end technologies such as Node.js or Flask.
• Familiarity with cloud platforms such as AWS, Azure, or Google Cloud Platform.
• Experience with Docker and containerization technologies.
• Contributions to open-source projects or participation in developer communities.
• Experience workin with AI models.
Job Type: Full-time","https://pk.indeed.com/viewjob?jk=656c8bc56ffe248e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://de.glassdoor.ch/job-listing/python-django-developer-smart-placement-pvt-ltd-JV_IC3206630_KO0,23_KE24,47.htm?jl=1009301968318&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://indotim.net/pk/python-django-developer-northbay-solutions-lahore-punjab/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.itjobsinpakistan.com/jobs/view/pythondjango-developer-1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://lahorejobs.info/job/python-django-developer-islamabad-apimio-2550-16068-pakistan/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.emprego.pt/en/jobs/show/30528127111060376529295378379?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
ENTERTAINER FZ LLC,Senior Software Engineer (Python),ENTERTAINER FZ LLC • Lahore,5 days ago,Full-time,,"Job description
Job Summary:
As the Senior Python Developer, you will lead a team of developers in designing, developing, and maintaining cutting-edge software applications, with a primary focus on RESTful API development using the Flask framework. Your role will involve working on high-performance, scalable, and secure backend services that support web and mobile applications. You will collaborate closely with c
...
ross-functional teams to deliver top-tier software solutions that align with business objectives.
Job Responsibilities:
• Lead and mentor a team of Python developers in best practices, coding standards, and agile methodologies.
• Design and implement RESTful APIs using Flask, ensuring optimal performance, scalability, and security.
• Architect and develop microservices using AWS Cloud services, with a focus on serverless technologies.
• Build and maintain web and mobile backend services with a focus on low-latency and high-availability.
• Collaborate with front-end teams to integrate user-facing elements with server-side logic.
• Oversee the full development lifecycle, from initial concept to post-launch support.
• Write clean, efficient, reusable, and well-documented code.
• Conduct code reviews, refactoring, and foster a culture of continuous improvement.
• Utilize test-driven development (TDD) to ensure robust and reliable features.
• Stay up-to-date with the latest trends in Python development, AWS services, and microservices architecture.
Qualifications:
• Education: BS/MS in Computer Science, Software Engineering, or a related field.
• Experience: 5+ years of Python development, with a minimum of 3 years in REST API development using Flask.
• Leadership: Proven experience in leading and mentoring a team of developers.
• Frameworks: Proficient in Flask and experience with other Python-based frameworks.
• AWS Cloud Expertise: Strong experience with AWS services, including Lambda, API Gateway, DynamoDB, and other serverless technologies.
• Microservices Architecture: Deep understanding of microservices and containerization (e.g., Docker, Kubernetes).
• Security: Knowledge of security protocols such as OAuth, SSO, and encryption.
• Database Skills: Proficient in PostgreSQL, MySQL, NoSQL databases, and Redis.
• Agile Experience: Solid understanding of Agile methodologies and experience working in agile environments.
• OOP Concepts: Strong grasp of Object-Oriented Programming and design patterns.
Ideal Candidate Profile
• Problem-Solver: Strong problem-solving skills and attention to detail.
• Collaboration: Ability to work independently as well as part of a team, with good collaboration skills.
• Deadline-Oriented: Comfortable working with deadlines and able to manage multiple projects simultaneously.
• Quality-Focused: A strong focus on the quality of work with a desire to learn and continuously develop skills.
• Communication Skills: Strong verbal and written communication skills.
ebzZ1K82Cp","https://pk.indeed.com/viewjob?jk=d8a29ae5470591bd&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://pk.linkedin.com/jobs/view/senior-software-engineer-python-at-the-entertainer-4017771205?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/senior-software-engineer-python-the-entertainer-uae-JV_IC3206630_KO0,31_KE32,51.htm?jl=1009436824192&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.bayt.com/en/pakistan/jobs/senior-software-engineer-python-71673701/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://entertainerfzllc.applytojob.com/apply/ebzZ1K82Cp/Senior-Software-Engineer-Python?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://hired.pk/view/96638.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Algo,SQL Python Developer,Algo • Lahore,1 day ago,Full-time,,"Job description
Job Overview
We are looking for a SQL Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development lifecycle, from conception to deployment.
As a Full-stack Python Developer, you should be comfortable around both frontend and backend coding languages, development frameworks, and third-party libraries. You should 
...
also be a team player with a knack for visual design and utility. If you’re also familiar with Agile methodologies, we’d like to meet you.
Responsibilities
• Work with development teams and product managers to ideate software solutions
• Design client-side and server-side architecture
• Build visually appealing application frontends
• Develop and manage well-functioning databases and applications
• Write effective APIs
• Test software to ensure responsiveness and efficiency
• Troubleshoot, debug, and upgrade software
• Create security and data protection settings
• Build features and applications with a responsive, mobile-friendly design
• Write technical documentation
• Work with data scientists and analysts to improve software
Requirements
• Bachelor's degree in Computer Science or related field, or equivalent work experience
• Ability to manage databases like MySQL and MongoDB, and cloud technologies like Azure and AWS
• Experience in building highly available, resilient, and scalable solutions for high-traffic sites
• You write clear, testable code with an eye towards maintainability
• Experience with containerization (e.g. Docker, Kubernetes, etc.) and version control (e.g. Git)","https://pk.linkedin.com/jobs/view/sql-python-developer-at-algo-4020618755?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.emprego.pt/en/jobs/show/30329555695632891904485867642?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
NETREX,Python Developer / Django Developer,NETREX • Lahore,,Full-time,Rs 60K–Rs 80K a month,"Job description
We are looking for a talented Django Developer to join our team and maintain a critical Python Django application running on AWS.
Responsibilities:
• Maintain and enhance our existing Django application
• Troubleshoot and fix bugs efficiently
• Collaborate with the development team to understand the requirements
• Write clean, well-documented, and maintainable code
• Deploy and manage the applica
...
tion on AWS
• Stay up-to-date on the latest Django and Python advancements
Qualifications:
• Proven experience developing and maintaining Django applications
• Solid understanding of Python programming language
• Experience with AWS cloud services (e.g., EC2, S3)
• Excellent problem-solving and debugging skills
• Strong communication and collaboration skills
• Ability to work independently and as part of a team
Bonus Points:
• Experience with unit testing frameworks (e.g., pytest, unittest)
• Experience with DevOps practices (e.g., CI/CD)
• Familiarity with relational databases (e.g., PostgreSQL, MySQL)
What We Offer:
• Competitive salary in the range of 60, - 80, Monthly
• Comprehensive benefits package
• Opportunity to work on a critical application and make a real impact
• Collaborative and supportive work environment
To Apply:
Please submit your resume and cover letter outlining your experience with Django and AWS.
Schedule:
This is a full-time, in-office position with evening hours (6pmpm). 4 Hours Daily","https://jobee.pk/jobdetail/Python-Developer-Django-Developer-0058d471cc8f6bb7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.businesslist.pk/job/2633/python-developerdjango-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Softmatics,Python Developer,Softmatics • Lahore,,Full-time,Rs 60K–Rs 100K a month,"Job description
We are looking for a Python Developer
Requirements:
• 2+ Years of relevant experience
• Proficiency & hands on experience in Python3
• Hands-on experience on Nginx/Flask would be preferred.
• Experience with PostgreSQL, MySQL, or MongoDB
• Experience with RESTful API development
• Familiarity with Git
• Basic understanding of front-end technologies (JS, HTML5) and full stack development
Good to 
...
Have Skills:
• Ability to write bash scripts
• Working knowledge of Docker, Kubernetes, or other containers
• Knowledge and experience with PyTorch, Scikit-learn, or TensorFlow is a plus",https://jobee.pk/jobdetail/python-developer-662ec32fcffcbd24?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2iQ Research,Python Developer,2iQ Research • Lahore,,Full-time,,"Job description
Job Description:
We are seeking a highly skilled Python Developer with a strong understanding of AI and its applications in the data industry. The ideal candidate will have 3 to 5 years of experience in developing AI-driven solutions and a solid foundation in data manipulation and analysis.
Key Responsibilities:
• Develop and implement AI models and algorithms
• Design and implement AI models and
...
 algorithms
• Collaborate with the team to define project requirements and deliverables
• Analyze and interpret complex data to provide actionable insights
• Optimize and improve AI and data systems continuously
Qualifications:
• Minimum 3 to 5 years of experience in Python development
• Strong understanding of AI concepts and frameworks
• Proficiency in data manipulation and analysis
• Excellent problem-solving skills and attention to detail
• Strong communication and teamwork abilities
Benefits:
• Chance to build data analysis models and AI systems from scratch
Job Type: Full-time
Pay: Rs300,000.00 - Rs350,000.00 per month
Ability to commute/relocate:
• Lahore: Reliably commute or planning to relocate before starting work (Required)
Experience:
• Python Developer: 4 years (Required)
Language:
• English (Required)
Location:
• Lahore (Required)
Application Deadline: 15/09/2024","https://pk.indeed.com/viewjob?jk=916caecbaf302e1d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-developer-2iq-research-JV_IC3206630_KO0,16_KE17,29.htm?jl=1009378525554&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
PureLogics,Python Engineer,PureLogics • Lahore,,Full-time,,"Job description
PureLogics is looking for an experienced Python Engineer.
Responsibilities:
Write effective, scalable code
• Develop back-end components to improve responsiveness and overall performance
• Integrate user-facing elements into applications
• Test and debug programs
• Improve functionality of existing systems
• Implement security and data protection solutions
• Assess and prioritize feature request
...
s
• Coordinate with internal teams to understand user requirements and provide technical solutions
Requirements:
• Must have experience in one of the frameworks of Python like Django, Flask or Pyramid whereas Django is highly preferable and familiar with deployments and AWS
Experience:
• Mini 2 Years
Timings:
• 1PM- 10PM
About Us:
PureLogics is a full services technology company with having presence in the USA, UAE, and in Lahore. Over the past 15 years, we have matured from a narrowly-focused five-person team to a well-established technology hub with around employees. We’re CMMI Level 2 and ISO Certified company and highly acclaimed AWS consulting partners.
The success of our business mainly lies in building a team of A-players, who work together and build together, and who crave perfection in everything they produce for our elite clients. We offer the opportunity to young and enthusiastic individuals that are eager to take on tough challenges under our mentorship toward a bright future.
What are we offering?
• Health Insurance
• Provident Fund
• Annual Paid Leaves
• Compensation Plans
• Paid Certifications & Training
• Car Finance Program
• Bike Finance Program
• Child Education Program
• Two Annual Trips
• Stars Of the Month Rewards
• Monthly Meetups
• Referral Bonuses
• Birthday & Eid Gifts",https://jobee.pk/jobdetail/python-engineer-573d158d3f2651ff?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Nextbridge Ltd.,Senior Python + JS Developer,Nextbridge Ltd. • Lahore,,Full-time,,"Job description
Nextbridge is in search of a highly proficient Senior Python + JS Developer with full-stack engineering skills to join our team based in our Dubai office.
Location: Dubai, UAE
Experience: 5+ Years
Key Responsibilities:
• Utilize expertise in Python to develop robust and scalable solutions, with a particular focus on Frappe framework (https://frappe.io/)
• Leverage JavaScript proficiency to work
...
 on Chrome object, DOM, and Web Automation
• Design and implement Windows services to enhance product functionalities
• Develop and integrate REST APIs to facilitate seamless communication between different systems
• Collaborate with cross-functional teams to architect and implement solutions that meet business requirements
• Stay updated with emerging technologies and incorporate them into projects when applicable
• Demonstrate strong problem-solving skills and the ability to overcome technical challenges
• Foster a collaborative environment and actively contribute to team discussions and initiatives
Requirements:
• Bachelor's degree in Computer Science, Engineering, or a related field
• 5+ years of experience in software development, with a focus on Python and JavaScript
• Proficiency in Frappe framework is highly desirable
• Strong understanding of Chrome object, DOM manipulation, and Web Automation techniques
• Experience in developing and deploying Windows services
• Solid understanding of RESTful APIs and integration methodologies
• Ability to quickly adapt to new technologies and frameworks
• Excellent programming skills and a strong understanding of software architecture principles
• Proven track record of delivering high-quality code and solutions within deadlines
• A proactive and self-motivated attitude with a willingness to take on challenges
• Exceptional communication skills and the ability to work effectively within a team environment
Powered by JazzHR
ovOyWeisQg","https://pk.linkedin.com/jobs/view/senior-python-%2B-js-developer-at-nextbridge-ltd-3924575440?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://hireside.com/jobs/Mzowi3-senior-python--js-developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
DGB Technologies,Python Developer,DGB Technologies • Lahore,,Full-time,,"Job description
Background
Quantitative risk assessment is a fundamental action to ensure safe operation of critical high-tech systems. The increased constraints imposed by international standards together with the ever-growing penetration of AI components in high-tech systems make rigorous and powerful risk assessment more important than ever. Various techniques have been developed throughout the years to analy
...
ze the safety and reliability of systems. One of the most relevant is Fault Tree Analysis (FTA). Every day, millions of engineers are using fault trees to model their systems and analyze the probability of failures. FTA is applied to many safety-critical systems and their use is required for instance by the Federal Aviation Authority (FAA) and the Nuclear Regulatory Commission (NRC) USA, in ISO 26262 for autonomous driving or for software development in aerospace systems (by NASA and ESA). While fault trees are easy to understand and thus, widely used, their modelling capabilities are severely limited. This lack of flexibility hinders accurate and precise modelling of real-life systems e.g., self-driving cars, hyperloops and drones.. To overcome these drawbacks, several extensions of fault trees have been proposed in the last decades. Dynamic fault trees (DFT) are a prominent extension of fault trees overcoming these limitations. DFTs have been co-developed by NASA Formal Methods group to model more complex behaviors and dependability patterns. While fault tree models represent how failures occur at system component level and how they propagate through sub-systems, eventually leading to system level failures, their analysis focuses on computing various dependability metrics, i.e. key performance indicators that measure how well a system performs. Standard metrics are the system reliability (i.e. the probability that no failure occurred until time T), the availability (i.e. the average percentage of time that a system is operational), the mean time to failure, the mean time between failures, the criticality of components (i.e. to what extent does a component failure contribute to a system failure) etc. Various extensions include the cost and impact of failures.
Opportunity
We at DGB Technologies, in collaboration with MOVES group at RWTH Aachen University Germany and FMT group at Twente University The Netherlands, are building tools for the modeling and quantitative analysis of real-life high-tech systems based on probabilistic model-checking techniques. If you are willing to work on cutting edge technologies and have experience in tool building used in performance, reliability and safety analysis of complex systems, this is a right opportunity for.
We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.
Job Responsibilities
• Writing reusable, testable, and efficient Python code.
• Coordinating with development teams to determine application requirements.
• Design and implementation of low-latency, high-availability, and performant applications.
• Integration of user-facing elements developed by front-end developers with server side logic.
• Assessing and prioritizing client feature requests.
• Implementation of security and data protection.
• Producing detailed design documentation.
Required Skill Set
• 1-2 years of experience as a Python developer.
• Expert in Python, with knowledge of at least one Python web framework (Django or Flask).
• Able to integrate multiple data sources and databases into one system.
• Understanding of the threading limitations of Python, and multi-process architecture.
• Basic understanding of front-end technologies, such as JavaScript,TypeScript, Angular, HTML5, and CSS3.
• Understanding of fundamental design principles behind a scalable application.
• Familiarity with event-driven and socket programming in Python.
• Able to create database schemas that represent and support business processes.
• Strong unit test and debugging skills.
• Proficient understanding of code versioning tools such as Git.
• Ability to collaborate on projects and work independently when required.
• Familiarity with virtualization tools like Docker and containers.
• Must have knowledge of Compiler Construction things, Lexical Analyzer, Context Free Grammar (CFG), Parser and Translators.
Preferred Additional Skills
• Exceptional communications skills – written and verbal
• Publishing record in Deep/machine/reinforcement learning, security, software architecture and have strong tie-up/network with experts/academics/researcher.
• Team player and great collaborator.
• Experience working with an international team spread across geography.
To Apply
• Send your resume at contact@dgbtek.com","https://pk.indeed.com/viewjob?jk=5975721a205f56a2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-developer-dgb-technologies-JV_IC3206630_KO0,16_KE17,33.htm?jl=1007823184633&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com.br/job-listing/python-developer-dgb-technologies-JV_IC3206630_KO0,16_KE17,33.htm?jl=1007823184633&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://pk.jooble.org/jdp/6428742858342873938?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.getpakjob.com/jobs/view/python-developer-59?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://en-pk.whatjobs.com/job/Python-Developer/lahore/3163711?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Lucrum ERP,Python Developer,Lucrum ERP • Lahore,25 days ago,Full-time,Rs 70K–Rs 100K a month,"Job description
We are looking for a skilled Python Developer with 1 year of experience to join our team and contribute to the development and customization of our ERP systems. The successful candidate will be involved in creating, modifying, and optimizing ERP modules to streamline business processes and enhance operational efficiency.
Key Responsibilities:
• Develop, customize, and maintain ERP modules using P
...
ython to meet business requirements.
• Implement business logic and workflows within the ERP system, ensuring seamless integration with other modules and external applications.
• Collaborate with business analysts and stakeholders to understand requirements and translate them into technical specifications.
• Design and implement user interfaces, forms, and reports within the ERP system to enhance user experience and data accessibility.
• Work on data migration, importing/exporting data between the ERP system and other platforms.
• Monitor and optimize the performance of ERP modules, addressing any issues related to scalability and efficiency.
• Ensure data integrity and security within the ERP system through proper validation and testing.
• Participate in code reviews, testing, and deployment processes, adhering to best practices and quality standards.
Skills and Qualifications:
• 1 year of experience in Python development, with a focus on ERP systems preferred.
• Strong understanding of object-oriented programming and Python frameworks.
• Experience with relational databases (e.g., MySQL, PostgreSQL) and writing complex SQL queries.
• Knowledge of integrating and automating workflows within ERP systems.
• Familiarity with developing custom scripts, reports, and dashboards within an ERP environment.
• Basic understanding of JavaScript, HTML, and CSS for customizing front-end elements within the ERP system.
• Strong analytical and problem-solving skills, with attention to detail.
• Ability to work independently and as part of a team, with good communication and collaboration skills.
Preferred Qualifications:
• Experience in customizing ERP modules for specific business functions such as finance, HR, inventory, or sales.
• Knowledge of RESTful APIs and experience integrating ERP systems with third-party applications.
• Familiarity with version control systems (e.g., Git) and Agile development methodologies.
• Exposure to cloud-based ERP deployments and knowledge of cloud platforms (e.g., AWS, Azure) is a plus.
Benefits:
• Medical Insurance: Comprehensive health coverage for you and your family.
• Competitive Salary: Attractive compensation package based on experience and skills.
• Bi-Annual Performance Reviews: Opportunities for salary raises, bonuses, and professional development.
Job Type: Full-time
Pay: Rs70,000.00 - Rs100,000.00 per month","https://pk.indeed.com/viewjob?jk=807a6ccf9e4cbaef&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-developer-lucrum-erp-JV_IC3206630_KO0,16_KE17,27.htm?jl=1009409593514&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://pk.jooble.org/jdp/3634216846114055011?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cogent Labs,Python/Django Developer,Cogent Labs • Lahore,,Full-time,,"Job description
Summary
Cogent Labs is looking for a Python/Django Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the applica
...
tion; therefore, a theoretical understanding of front-end technologies is necessary as well.
Prerequisites (in order of importance)
• A bachelors or equivalent degree in Computer Science / Software Engineering OR exceptional display of self-learning ability
• 1-3 years of experience with Python/Django
• Strong analytical ability. You should be able to find solutions to non-trivial problems
Must Have
• Basic/Intermediate knowledge of a python based web framework (Django, Flask, FAST API, Scrapy)
• Experience building REST APIs for web/mobile clients
• Basic knowledge of frontend technologies (Javascript, Jquery, React.js, Angular)
• Good understanding of core Computer Science Principles
• Above average problem-solving skills and analytical ability
• Good working knowledge of relational databases (MySQL, PostgreSQL etc.)
• Work in an agile environment following incremental and iterative solution delivery
• Academic knowledge of OOP, Data Structures, Algorithms and Databases
• At least academic knowledge of Web Fundamentals
• Intermediate level knowledge of Git
Good to Have
• Experience working with Celery/Celery Beat for distributed task processing
• Experience working with Redis
• Basic understanding of Docker/Docker Compose
• Basic understanding of Devops
• Good communication (verbal/written)
• Understanding of fundamental design principles behind a scalable application
• Experience partnering closely with UX and Frontend Developers
• Experience participate in architectural, design, and product discussions
Bonus points for
• Exceptional communication skills
• High energy individuals
• Out of the box thinkers
• Experience working with high throughput systems (1M+ MAU)
Skills
• Python
• Django
• Docker
• Docker Compose
• Celery
• Celery Beat
• Redis
• Nginx
• Gunicorn
• REST API
• Databases
• Linux
Perks
• No Attendance Track
• Flexible Working Hours
• Flat Hierarchy
• Growth Culture
• Daily Free Lunch
• Multiple Indoor Games
• Monthly Sports Activities
• Monthly Events
• Quarterly Team Dinners
• Annual Increments
• Travel Allowance
Job Type: Full-time
Pay: Rs75,000.00 - Rs5,000,000.00 per month","https://pk.indeed.com/viewjob?jk=27b50e8dce4c405f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-django-developer-cogent-labs-JV_IC3206630_KO0,23_KE24,35.htm?jl=1009385166623&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Smart Placement (Pvt) Ltd,Senior python developer,Smart Placement (Pvt) Ltd • Lahore,,Full-time,,"Job description
We are looking for a talented and experienced Senior Python Developer to join our dynamic team. You will be responsible for developing robust software applications, designing and implementing RESTful APIs, integrating external services, and contributing to the architecture of our systems. As a senior member of the team, you will also mentor junior developers, participate in code reviews, and help 
...
set best practices and coding standards.
Responsibilities:
• Design and develop high-volume, low-latency applications for mission-critical systems and delivering high-availability and performance
• Contribute to all phases of the development lifecycle
• Write well-designed, efficient, and testable code
• Integrate software components into a fully functional software system
• Troubleshoot, debug, and upgrade existing systems
• Gather and analyze user feedback to improve software performance
• Design and implement RESTful APIs for internal and external consumption
• Develop and maintain unit tests and documentation to ensure code quality and reliability
• Mentor and coach junior developers and help in their technical growth
• Participate in software architecture and design discussions
• Collaborate with cross-functional teams to define, design, and ship new features
Requirements:
• Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent experience)
• X years of professional experience as a Python developer
• Strong proficiency in Python and its ecosystems (e.g., Django, Flask)
• Experience with relational databases (e.g., PostgreSQL, MySQL) and NoSQL databases (e.g., MongoDB, Redis)
• Familiarity with front-end technologies (e.g., JavaScript, HTML5, CSS3)
• Knowledge of object-relational mapping (ORM)
• Understanding of server-side templating languages (e.g., Jinja 2)
• Experience with version control systems (e.g., Git)
• Excellent problem-solving and analytical skills
• Ability to work independently and as part of a team
• Excellent verbal and written communication skills
Job Type: Full-time","https://pk.indeed.com/viewjob?jk=fd6453caaea857c4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/senior-python-developer-smart-placement-pvt-ltd-JV_IC3206630_KO0,23_KE24,47.htm?jl=1009363099278&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Villaex Technologies,Python Developer,Villaex Technologies • Lahore,28 days ago,Full-time,,"Job description
Company Name: Villaex Technologies
Job Title: Python Developer
Location: 22-D2, Johar Town, Lahore
Timing: 02:00 PM to 11:00 PM
Experience: 3 to 4 years of Experience
Job Description:
We are looking for an experienced Python Developer to join our team. The ideal candidate should have a strong background in Python programming and experience in developing web applications using Python-based fr
...
ameworks such as Django or Flask.
Role Overview:
As a Python Developer with us, you'll be an important part of our development process. Your expertise will drive software application design, creation, and maintenance using Python. Your collaboration with cross-functional teams will be instrumental in solving intricate challenges, and your commitment to writing clean and efficient code will elevate our projects.
Key Responsibilities:
- Craft and maintain software applications using Python
- Collaborate seamlessly with diverse teams to solve complex issues
- Create code that's not only effective but also easy to read and reuse
- Conduct thorough testing and debugging of software
- Engage in code reviews and actively contribute to refining our development methods
- Stay updated with the latest Python and web development trends
Requirements:
- A degree in Computer Science, Software Engineering, or related field
- Minimum 3 to 4 years hands-on experience in Python programming
- Proficiency in Python-based web frameworks like Django or Flask
- Familiarity with SQL and relational databases (e.g. MySQL, PostgreSQL)
- Experience with version control systems like Git
- Knowledge of front-end web technologies such as HTML, CSS, and JavaScript is advantageous
- Strong analytical and problem-solving skills
- Excellent communication and teamwork abilities
Compensations and Benefits:
· Market Competitive Salary
· Market-leading Compensation
· Commission Opportunities
· Performance bonuses
· Regular Increments
· Enriching social events and activities
· Work-life Balance
· Flexible work hours
· Comprehensive Medical Insurance
· Generous Vacation
· Paid Leaves
· Seamless remote work opportunities
· Explorative Adventures (Annual tours)
· Culinary Delights (weekly dinner and monthly dinner)
· Professional growth and career development opportunities
· Training and Development opportunities
Please submit your Resume at zonia.maqbool@villaextechnologies.com
Job Type: Full-time
Pay: Rs120,000.00 - Rs200,000.00 per month","https://pk.indeed.com/viewjob?jk=a125ce8d3e91887b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic, https://www.glassdoor.com/job-listing/python-developer-villaex-technologies-JV_IC3206630_KO0,16_KE17,37.htm?jl=1009406034399&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
